Week of Order,Confirmed Demand,Delayed Demand,Unconfirmed Demand
201901,0.00 USD,18515807.00 USD,0.00 USD
201902,0.00 USD,22190252.00 USD,0.00 USD
201903,0.00 USD,21410859.00 USD,0.00 USD
201904,0.00 USD,20588409.00 USD,0.00 USD
201905,0.00 USD,21445871.00 USD,0.00 USD
201906,0.00 USD,26864160.00 USD,0.00 USD
201907,0.00 USD,25991396.00 USD,0.00 USD
201908,0.00 USD,25952144.00 USD,0.00 USD
201909,0.00 USD,26693987.00 USD,0.00 USD
201910,0.00 USD,33015792.00 USD,0.00 USD
201911,0.00 USD,31367381.00 USD,0.00 USD
201912,0.00 USD,31131085.00 USD,0.00 USD
201913,0.00 USD,32881435.00 USD,0.00 USD
201914,0.00 USD,21115496.00 USD,0.00 USD
201915,0.00 USD,20197566.00 USD,0.00 USD
201916,0.00 USD,19595144.00 USD,0.00 USD
201917,0.00 USD,20877844.00 USD,0.00 USD
201918,0.00 USD,20225881.00 USD,0.00 USD
201919,0.00 USD,20579226.00 USD,0.00 USD
201920,0.00 USD,18661443.00 USD,0.00 USD
201921,0.00 USD,18047042.00 USD,0.00 USD
201922,0.00 USD,20574775.00 USD,0.00 USD
201923,0.00 USD,23739265.00 USD,0.00 USD
201924,0.00 USD,23427951.00 USD,0.00 USD
201925,0.00 USD,25001619.00 USD,0.00 USD
201926,0.00 USD,23732240.00 USD,0.00 USD
201927,0.00 USD,22197057.00 USD,0.00 USD
201928,0.00 USD,23665917.00 USD,0.00 USD
201929,0.00 USD,23815594.00 USD,0.00 USD
201930,0.00 USD,22981524.00 USD,0.00 USD
201931,0.00 USD,28888696.00 USD,0.00 USD
201932,0.00 USD,28515113.00 USD,0.00 USD
201933,0.00 USD,29140850.00 USD,0.00 USD
201934,0.00 USD,27851265.00 USD,0.00 USD
201935,0.00 USD,27056120.00 USD,0.00 USD
201936,0.00 USD,24903940.00 USD,0.00 USD
201937,0.00 USD,23975248.00 USD,0.00 USD
201938,0.00 USD,23144383.00 USD,0.00 USD
201939,0.00 USD,25583029.00 USD,0.00 USD
201940,0.00 USD,21216473.00 USD,0.00 USD
201941,0.00 USD,20951480.00 USD,0.00 USD
201942,0.00 USD,21381461.00 USD,0.00 USD
201943,0.00 USD,20346676.00 USD,0.00 USD
201944,0.00 USD,20966389.00 USD,0.00 USD
201945,0.00 USD,19155818.00 USD,0.00 USD
201946,0.00 USD,18092567.00 USD,0.00 USD
201947,0.00 USD,18462106.00 USD,0.00 USD
201948,0.00 USD,19017500.00 USD,0.00 USD
201949,0.00 USD,15505849.00 USD,0.00 USD
201950,0.00 USD,15993343.00 USD,0.00 USD
201951,0.00 USD,16244336.00 USD,0.00 USD
201952,0.00 USD,16404920.00 USD,0.00 USD
202001,0.00 USD,22831601.00 USD,0.00 USD
202002,0.00 USD,23155871.00 USD,0.00 USD
202003,0.00 USD,22975046.00 USD,0.00 USD
202004,0.00 USD,22390745.00 USD,0.00 USD
202005,0.00 USD,22707632.00 USD,0.00 USD
202006,0.00 USD,27513865.00 USD,0.00 USD
202007,0.00 USD,28389314.00 USD,0.00 USD
202008,0.00 USD,29527059.00 USD,0.00 USD
202009,0.00 USD,25806129.00 USD,0.00 USD
202010,0.00 USD,27464552.00 USD,0.00 USD
202011,0.00 USD,33755880.00 USD,0.00 USD
202012,0.00 USD,37874371.00 USD,0.00 USD
202013,0.00 USD,35116296.00 USD,0.00 USD
202014,0.00 USD,25329596.00 USD,0.00 USD
202015,0.00 USD,22742926.00 USD,0.00 USD
202016,0.00 USD,22020725.00 USD,0.00 USD
202017,0.00 USD,22993915.00 USD,0.00 USD
202018,0.00 USD,22290811.00 USD,0.00 USD
202019,0.00 USD,20635495.00 USD,0.00 USD
202020,0.00 USD,21437737.00 USD,0.00 USD
202021,0.00 USD,21380170.00 USD,0.00 USD
202022,0.00 USD,22235710.00 USD,0.00 USD
202023,0.00 USD,25885909.00 USD,0.00 USD
202024,0.00 USD,25398123.00 USD,0.00 USD
202025,0.00 USD,26484742.00 USD,0.00 USD
202026,0.00 USD,26299239.00 USD,0.00 USD
202027,0.00 USD,27436460.00 USD,0.00 USD
202028,0.00 USD,25482601.00 USD,0.00 USD
202029,0.00 USD,25924091.00 USD,0.00 USD
202030,0.00 USD,25251054.00 USD,0.00 USD
202031,0.00 USD,23859533.00 USD,0.00 USD
202032,0.00 USD,31115055.00 USD,0.00 USD
202033,0.00 USD,30159992.00 USD,0.00 USD
202034,0.00 USD,31446869.00 USD,0.00 USD
202035,0.00 USD,32646319.00 USD,0.00 USD
202036,0.00 USD,27545820.00 USD,0.00 USD
202037,0.00 USD,27507234.00 USD,0.00 USD
202038,0.00 USD,27390608.00 USD,0.00 USD
202039,0.00 USD,25147618.00 USD,0.00 USD
202040,0.00 USD,23762672.00 USD,0.00 USD
202041,0.00 USD,23662300.00 USD,0.00 USD
202042,0.00 USD,23840861.00 USD,0.00 USD
202043,0.00 USD,23101415.00 USD,0.00 USD
202044,0.00 USD,19934740.00 USD,0.00 USD
202045,0.00 USD,20837017.00 USD,0.00 USD
202046,0.00 USD,20429990.00 USD,0.00 USD
202047,0.00 USD,20795465.00 USD,0.00 USD
202048,0.00 USD,20376088.00 USD,0.00 USD
202049,0.00 USD,18229223.00 USD,0.00 USD
202050,0.00 USD,17928844.00 USD,0.00 USD
202051,0.00 USD,18349109.00 USD,0.00 USD
202052,0.00 USD,17811797.00 USD,0.00 USD
202053,0.00 USD,20775213.00 USD,0.00 USD
202101,526.50 USD,24497135.50 USD,0.00 USD
202102,0.00 USD,24464697.00 USD,0.00 USD
202103,0.00 USD,24416795.00 USD,0.00 USD
202104,0.00 USD,24312241.00 USD,0.00 USD
202105,0.00 USD,30056897.00 USD,0.00 USD
202106,0.00 USD,30201339.00 USD,0.00 USD
202107,0.00 USD,30196848.00 USD,0.00 USD
202108,0.00 USD,30085343.00 USD,0.00 USD
202109,0.00 USD,36692535.00 USD,0.00 USD
202110,0.00 USD,31282545.00 USD,0.00 USD
202111,0.00 USD,36655911.00 USD,0.00 USD
202112,0.00 USD,36644589.00 USD,0.00 USD
